Episode 1: Reward = -100.00, Avg Reward (100) = 0.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 2: Reward = -100.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 3: Reward = 500.00, Avg Reward (100) = -100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 4: Reward = -100.00, Avg Reward (100) = 100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 5: Reward = -100.00, Avg Reward (100) = 50.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 6: Reward = 500.00, Avg Reward (100) = 20.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 7: Reward = -100.00, Avg Reward (100) = 100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 8: Reward = 500.00, Avg Reward (100) = 71.43, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 9: Reward = -100.00, Avg Reward (100) = 125.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 10: Reward = 500.00, Avg Reward (100) = 100.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 11: Reward = -100.00, Avg Reward (100) = 140.00, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 12: Reward = -100.00, Avg Reward (100) = 118.18, Epsilon = 0.500, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 13: Reward = -100.00, Avg Reward (100) = 100.00, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 14: Reward = 500.00, Avg Reward (100) = 84.62, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 15: Reward = 500.00, Avg Reward (100) = 114.29, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 16: Reward = 29283.61, Avg Reward (100) = 140.00, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 24, Reward Breakdown -> Delta_x Reward: 60283.61, Border Penalty: 1650.00, Obstacle Penalty: 4800.00
Episode 17: Reward = 2494.43, Avg Reward (100) = 1961.48, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 4, Reward Breakdown -> Delta_x Reward: 8294.43, Border Penalty: 450.00, Obstacle Penalty: 800.00
Episode 18: Reward = -100.00, Avg Reward (100) = 1992.83, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 19: Reward = -100.00, Avg Reward (100) = 1876.56, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 20: Reward = 5027.47, Avg Reward (100) = 1772.53, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 7, Reward Breakdown -> Delta_x Reward: 14727.47, Border Penalty: 750.00, Obstacle Penalty: 1400.00
Episode 21: Reward = -100.00, Avg Reward (100) = 1935.28, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 22: Reward = -100.00, Avg Reward (100) = 1838.36, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 23: Reward = 2044.43, Avg Reward (100) = 1750.25, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 3.60, Steps = 3, Reward Breakdown -> Delta_x Reward: 6494.43, Border Penalty: 300.00, Obstacle Penalty: 600.00
Episode 24: Reward = -100.00, Avg Reward (100) = 1763.04, Epsilon = 0.499, Avg Loss = 709.3862, Max Q-Value = 3.60, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 25: Reward = 4574.28, Avg Reward (100) = 1685.41, Epsilon = 0.499, Avg Loss = 720.9217, Max Q-Value = 3.58, Steps = 6, Reward Breakdown -> Delta_x Reward: 12924.28, Border Penalty: 600.00, Obstacle Penalty: 1200.00
Episode 26: Reward = -100.00, Avg Reward (100) = 1800.97, Epsilon = 0.499, Avg Loss = 695.9182, Max Q-Value = 3.48, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 27: Reward = -100.00, Avg Reward (100) = 1727.85, Epsilon = 0.499, Avg Loss = 668.1257, Max Q-Value = 3.46, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 28: Reward = 3844.43, Avg Reward (100) = 1660.16, Epsilon = 0.499, Avg Loss = 722.7091, Max Q-Value = 3.45, Steps = 6, Reward Breakdown -> Delta_x Reward: 11894.43, Border Penalty: 300.00, Obstacle Penalty: 1200.00
Episode 29: Reward = -100.00, Avg Reward (100) = 1738.17, Epsilon = 0.499, Avg Loss = 733.9963, Max Q-Value = 3.37, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 30: Reward = -100.00, Avg Reward (100) = 1674.78, Epsilon = 0.499, Avg Loss = 672.5804, Max Q-Value = 3.35, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
