Episode 26: Reward = -100.00, Avg Reward (100) = 450.53, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 27: Reward = -100.00, Avg Reward (100) = 429.35, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 28: Reward = -100.00, Avg Reward (100) = 409.75, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 29: Reward = -100.00, Avg Reward (100) = 391.54, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 30: Reward = -100.00, Avg Reward (100) = 374.59, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 31: Reward = -100.00, Avg Reward (100) = 358.77, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 32: Reward = -100.00, Avg Reward (100) = 343.97, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 33: Reward = -100.00, Avg Reward (100) = 330.10, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 34: Reward = -100.00, Avg Reward (100) = 317.06, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 35: Reward = 1100.00, Avg Reward (100) = 304.80, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 36: Reward = -100.00, Avg Reward (100) = 327.52, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 37: Reward = -100.00, Avg Reward (100) = 315.64, Epsilon = 0.499, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
